name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FHL J1910.8+2856,PointSource,287.7144305,28.93377804,,1.03749E-15,,,,
3FHL J1918.1+3752,PointSource,289.5427592,37.87601005,,4.32565E-16,,,,
3FHL J1925.4+3706,PointSource,291.3506676,37.10897681,,1.85043E-15,,,,
3FHL J1925.0+2815,PointSource,291.2673997,28.2624932,,1.13268E-15,,,,
3FHL J0348.3+6035,PointSource,57.08004908,60.58812639,,1.26386E-15,,,,
3FHL J0353.1+5655,PointSource,58.27526107,56.91746563,,7.52629E-16,,,,
3FHL J0414.7+5711,PointSource,63.69971658,57.18809758,,8.48069E-16,,,,
3FHL J2022.6-4512,PointSource,305.6505832,-45.21111987,,1.1414E-15,,,,
3FHL J2030.2-5037,PointSource,307.5699075,-50.63057833,,1.93426E-16,,,,
3FHL J2056.2-4713,PointSource,314.0699832,-47.22617448,,3.59851E-15,,,,
3FHL J1433.5-7304,PointSource,218.3996494,-73.07152611,,1.98042E-16,,,,
3FHL J0558.9-7458,PointSource,89.7442425,-74.9777634,,1.94986E-15,,,,
3FHL J0601.5-7237,PointSource,90.39640154,-72.62769587,,6.62316E-16,,,,
3FHL J0601.2-7035,PointSource,90.30119475,-70.59352965,,2.79739E-15,,,,
3FHL J1213.3-6240e,DiffuseSource,183.35,-62.677,0.331879,7.28144E-15,,,,
3FHL J1139.2-6248,PointSource,174.8196684,-62.80257083,,8.31745E-15,,,,
3FHL J1058.5-8005,PointSource,164.6491469,-80.0997191,,3.52052E-15,,,,
3FHL J1130.5-7801,PointSource,172.6487215,-78.02597991,,1.36608E-15,,,,
3FHL J1208.5-7809,PointSource,182.1270998,-78.15756218,,6.69111E-16,,,,
3FHL J1505.8-8241,PointSource,226.4520183,-82.69658531,,4.14871E-16,,,,
3FHL J0537.6+2751e,DiffuseSource,84.41,27.86,1.394,4.12855E-15,,,,
3FHL J0549.1+3258,PointSource,87.29354427,32.96719562,,8.44315E-16,,,,
3FHL J0559.6+3045,PointSource,89.91721497,30.76214008,,1.05459E-15,,,,
3FHL J1310.5+3221,PointSource,197.6489115,32.35099437,,6.76304E-15,,,,
3FHL J1323.0+2941,PointSource,200.7613254,29.68728546,,1.28766E-15,,,,
3FHL J2307.4-1205,PointSource,346.8620043,-12.09880773,,9.64011E-16,,,,
3FHL J1704.2+1234,PointSource,256.0547802,12.57882956,,1.13968E-15,,,,
3FHL J1719.2+1745,PointSource,259.8077285,17.75764634,,5.52634E-15,,,,
3FHL J0742.5+5444,PointSource,115.6469748,54.73533117,,2.78354E-15,,,,
3FHL J0753.1+5354,PointSource,118.2864129,53.90745676,,1.77057E-15,,,,
3FHL J0747.6+8513,PointSource,116.9046923,85.22602318,,9.01374E-16,,,,
3FHL J0931.3+8611,PointSource,142.8267857,86.19622464,,9.03225E-16,,,,
3FHL J1713.6+8844,PointSource,258.4022186,88.7382387,,2.79316E-16,,,,
3FHL J0617.6-1715,PointSource,94.41621801,-17.25889804,,4.16231E-15,,,,
3FHL J0629.3-1958,PointSource,97.33730137,-19.97629642,,7.05068E-15,,,,
