name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
2FGL J1325.6-4300,PointSource,201.4177856,-43.0147934,,6.59E-11,,,,
2FGL J0100.2+0746,PointSource,15.0632782,7.77599144,,2.46E-13,,,,
2FGL J0102.2+0943,PointSource,15.55300903,9.725892067,,1.49E-13,,,,
2FGL J1400.6-5601,PointSource,210.1698303,-56.02039337,,3.51E-12,,,,
2FGL J1411.9-5744,PointSource,212.9915009,-57.74239731,,7.82E-13,,,,
2FGL J1521.8-5735,PointSource,230.4577026,-57.59829712,,1.17E-11,,,,
2FGL J1528.0-5841,PointSource,232.0072632,-58.69052124,,4.00E-12,,,,
2FGL J2133.9+6645,PointSource,323.4908142,66.75016785,,9.71E-14,,,,
2FGL J1617.6-4219,PointSource,244.4246063,-42.33105087,,2.04E-11,,,,
2FGL J1624.1-4040,PointSource,246.0407104,-40.67323685,,1.63E-11,,,,
2FGL J2206.6-0029,PointSource,331.6637573,-0.483477145,,4.01E-13,,,,
2FGL J2223.4+0104,PointSource,335.8597032,1.070224988,,2.10E-14,,,,
2FGL J2227.8+0051,PointSource,336.9639587,0.863539636,,2.19E-13,,,,
2FGL J1635.4-4717c,PointSource,248.850296,-47.2974472,,2.71E-13,,,,
2FGL J1636.3-4740c,PointSource,249.089798,-47.68287659,,7.20E-12,,,,
2FGL J1638.0-4703c,PointSource,249.5122986,-47.052948,,8.01E-12,,,,
2FGL J1640.5-4633,PointSource,250.1374664,-46.5515213,,2.08E-12,,,,
2FGL J2257.5+6222c,PointSource,344.3867798,62.38293076,,3.27E-12,,,,
2FGL J1044.5-5737,PointSource,161.1375275,-57.62607193,,7.22E-11,,,,
2FGL J1710.5-5020,PointSource,257.6352539,-50.34236908,,2.70E-11,,,,
2FGL J1704.9-4618,PointSource,256.2478333,-46.30400848,,4.34E-11,,,,
2FGL J1709.7-4429,PointSource,257.4329834,-44.48518372,,5.61E-10,,,,
2FGL J1026.3-8546,PointSource,156.5840607,-85.77642822,,8.96E-14,,,,
2FGL J1032.9-8401,PointSource,158.2284088,-84.0200882,,2.95E-13,,,,
2FGL J1057.0-8004,PointSource,164.2672577,-80.08255768,,1.58E-11,,,,
2FGL J1228.7-8310,PointSource,187.1789551,-83.17126465,,4.23E-12,,,,
2FGL J1714.5-3829,PointSource,258.6304993,-38.49243469,,3.78E-12,,,,
2FGL J1718.1-3725,PointSource,259.5367432,-37.42782974,,1.50E-13,,,,
2FGL J1726.6-3545,PointSource,261.6699524,-35.76408005,,2.43E-11,,,,
2FGL J1718.3-3827,PointSource,259.5848389,-38.45403671,,7.33E-12,,,,
2FGL J1717.3-2809,PointSource,259.345,-28.161,,3.89E-12,,,,
2FGL J1718.4-3056,PointSource,259.6061707,-30.94786453,,4.55E-13,,,,
2FGL J0057.9+3311,PointSource,14.47965908,33.18453979,,9.50E-13,,,,
2FGL J0112.8+3208,PointSource,18.20693207,32.13866425,,2.27E-11,,,,
2FGL J0122.6+3425,PointSource,20.66486931,34.42043686,,1.18E-14,,,,
2FGL J1731.6-3234c,PointSource,262.9017944,-32.58263779,,1.86E-12,,,,
2FGL J1737.2-3213,PointSource,264.3067932,-32.22160339,,7.29E-12,,,,
2FGL J1730.5-3350,PointSource,262.636,-33.8443,,3.71E-11,,,,
2FGL J1732.5-3131,PointSource,263.1347046,-31.51893997,,2.76E-11,,,,
2FGL J1741.0+1347,PointSource,265.251,13.794,,5.70E-14,,,,
2FGL J1350.8+3035,PointSource,207.7128823,30.58858666,,3.18E-12,,,,
2FGL J1410.3+2811,PointSource,212.5998383,28.19912338,,1.06E-14,,,,
2FGL J1426.1+3406,PointSource,216.5428162,34.10031891,,6.51E-14,,,,
2FGL J1742.5-3323,PointSource,265.64151,-33.39594269,,7.74E-12,,,,
2FGL J1746.5-3238,PointSource,266.6443787,-32.64361191,,1.46E-11,,,,
2FGL J1747.2-3507,PointSource,266.8178406,-35.12474442,,9.41E-12,,,,
2FGL J1047.7-6216,PointSource,161.9493103,-62.2826767,,4.56E-12,,,,
2FGL J1102.1-6308c,PointSource,165.5485604,-63.14844534,,1.15E-11,,,,
2FGL J0309.3-0743,PointSource,47.337,-7.731,,1.36E-14,,,,
2FGL J0312.5-0914,PointSource,48.14060593,-9.249922752,,4.89E-13,,,,
2FGL J0315.8-1024,PointSource,48.96925354,-10.40300655,,6.46E-13,,,,
2FGL J1742.0-2540c,PointSource,265.5081482,-25.67349625,,7.38E-13,,,,
2FGL J1748.0-2447,PointSource,267.0010681,-24.78465652,,5.81E-12,,,,
2FGL J1754.4-2538c,PointSource,268.6173706,-25.64585114,,1.37E-12,,,,
2FGL J1805.6-2136e,DiffuseSource,271.408,-21.6117,0.31,7.15E-12,,,,
2FGL J1803.3-2148,PointSource,270.8315125,-21.8037529,,4.78E-12,,,,
2FGL J1808.5-2037c,PointSource,272.1397705,-20.61898613,,1.00E-10,,,,
2FGL J1808.6-1950c,PointSource,272.15448,-19.84981537,,2.16E-12,,,,
2FGL J0440.4+1433,PointSource,70.10369591,14.56187227,,1.23E-12,,,,
2FGL J0448.9+1121,PointSource,72.24267578,11.36265087,,7.84E-11,,,,
2FGL J1811.1-1905c,PointSource,272.7957459,-19.09276009,,1.09E-10,,,,
2FGL J1814.1-1735c,PointSource,273.5393372,-17.59204102,,2.41E-11,,,,
2FGL J1817.6-1651c,PointSource,274.41,-16.861,,5.70E-11,,,,
2FGL J1813.7-1139c,PointSource,273.4345398,-11.65864563,,3.94E-11,,,,
2FGL J1813.4-1246,PointSource,273.3581238,-12.77126598,,1.36E-10,,,,
2FGL J1505.1+0324,PointSource,226.291748,3.407026052,,9.38E-12,,,,
2FGL J1512.2+0201,PointSource,228.069931,2.022820234,,1.80E-12,,,,
2FGL J0536.2-3348,PointSource,84.05599213,-33.81049347,,9.94E-12,,,,
2FGL J1824.8-2449,PointSource,276.2033081,-24.82717705,,5.23E-12,,,,
2FGL J1829.3-2419,PointSource,277.3296,-24.3234,,2.94E-13,,,,
2FGL J1833.6-2104,PointSource,278.4133911,-21.07492256,,7.27E-10,,,,
2FGL J1105.6-6114,PointSource,166.4089203,-61.23604202,,6.38E-12,,,,
2FGL J1112.1-6040,PointSource,168.0312195,-60.67152023,,2.76E-12,,,,
2FGL J1112.5-6105,PointSource,168.1352692,-61.09122849,,6.18E-13,,,,
2FGL J1118.8-6128,PointSource,169.7030487,-61.47348404,,1.42E-11,,,,
2FGL J0706.5+3744,PointSource,106.639084,37.7415806,,9.71E-14,,,,
2FGL J1107.8+1505,PointSource,166.9610443,15.08627796,,9.17E-14,,,,
2FGL J1856.2+0450c,PointSource,284.0600586,4.837919712,,3.70E-11,,,,
2FGL J1857.8+0355c,PointSource,284.4689026,3.924904585,,8.97E-12,,,,
2FGL J1901.1+0427,PointSource,285.29776,4.457552433,,2.90E-11,,,,
