name,type,RA,Dec,Flux_Density,l,b,x,y
1FGL J1652.8-4350c,PointSource,253.2116,-43.8396,3.06E-11,,,,
1FGL J1651.5-4602c,PointSource,252.883,-46.034,1.94E-12,,,,
1FGL J0023.9-7204,PointSource,5.998,-72.0727,3.51E-12,,,,
1FGL J0028.9-7028,PointSource,7.2304,-70.4739,3.42E-13,,,,
1FGL J0101.3-7257,PointSource,15.344,-72.9578,3.83E-11,,,,
1FGL J2355.9-6613,PointSource,358.9932,-66.2318,6.95E-12,,,,
1FGL J0600.5-2006,PointSource,90.1497,-20.1127,2.51E-12,,,,
1FGL J0608.0-1521,PointSource,92.0153,-15.3505,2.79E-11,,,,
1FGL J0610.7-2059,PointSource,92.6832,-20.9979,2.87E-12,,,,
1FGL J0617.7-1718,PointSource,94.427,-17.3096,2.17E-13,,,,
1FGL J1632.9-4802c,PointSource,248.2259,-48.0404,3.66E-12,,,,
1FGL J1635.7-4715c,PointSource,248.944,-47.2616,1.17E-12,,,,
1FGL J1636.4-4737c,PointSource,249.1231,-47.6248,3.18E-12,,,,
1FGL J1640.8-4634c,PointSource,250.2019,-46.5818,1.62E-11,,,,
1FGL J1632.7-4733c,PointSource,248.1806,-47.565,9.17E-13,,,,
1FGL J2043.2+1709,PointSource,310.8219,17.1637,4.43E-12,,,,
1FGL J0158.0-3931,PointSource,29.5073,-39.5277,3.65E-12,,,,
1FGL J0229.3-3644,PointSource,37.3423,-36.7343,2.62E-11,,,,
1FGL J0237.5-3603,PointSource,39.3788,-36.053,7.78E-15,,,,
1FGL J0238.6-3117,PointSource,39.6582,-31.297,3.76E-13,,,,
1FGL J1830.1-0425,PointSource,277.5467,-4.4217,6.24E-12,,,,
1FGL J1830.0+0043,PointSource,277.5056,0.7265,1.54E-11,,,,
1FGL J1831.5-0200c,PointSource,277.8759,-2.0121,4.35E-11,,,,
1FGL J1822.6-0340,PointSource,275.671,-3.6746,2.47E-11,,,,
1FGL J1305.4-4928,PointSource,196.3685,-49.4711,2.75E-12,,,,
1FGL J1314.9-5338,PointSource,198.7311,-53.6357,7.58E-12,,,,
1FGL J1327.0-5257,PointSource,201.7572,-52.9644,1.09E-11,,,,
1FGL J1329.2-5605,PointSource,202.304,-56.0859,2.21E-11,,,,
1FGL J0357.1-4949,PointSource,59.2911,-49.8248,1.16E-13,,,,
1FGL J0413.4-5334,PointSource,63.3633,-53.5778,1.66E-11,,,,
1FGL J1057.2-6026c,PointSource,164.3235,-60.4493,4.28E-12,,,,
1FGL J1104.0-6047c,PointSource,166.0202,-60.7972,5.00E-12,,,,
1FGL J1112.1-6041c,PointSource,168.0479,-60.6927,3.60E-12,,,,
1FGL J1115.2-6124c,PointSource,168.8021,-61.402,1.21E-12,,,,
1FGL J1119.4-6127c,PointSource,169.8525,-61.4527,1.00E-12,,,,
1FGL J1124.6-5916,PointSource,171.1625,-59.2719,1.04E-11,,,,
1FGL J1106.7-6150c,PointSource,166.6801,-61.8447,1.03E-12,,,,
1FGL J1104.4+3812,PointSource,166.1247,38.2108,1.75E-11,,,,
1FGL J1112.8+3444,PointSource,168.2035,34.7363,3.70E-12,,,,
1FGL J1129.3+3757,PointSource,172.344,37.9569,1.02E-12,,,,
1FGL J1217.7+3007,PointSource,184.4464,30.1206,3.47E-12,,,,
1FGL J1221.3+3008,PointSource,185.3352,30.1433,2.70E-13,,,,
1FGL J1221.5+2814,PointSource,185.3897,28.2467,7.38E-12,,,,
1FGL J1230.4+2520,PointSource,187.6027,25.3439,1.14E-12,,,,
1FGL J1231.6+2850,PointSource,187.9033,28.8343,1.36E-12,,,,
1FGL J1226.0+2954,PointSource,186.5089,29.9132,4.42E-13,,,,
1FGL J0825.9+0309,PointSource,126.4865,3.1522,6.46E-14,,,,
1FGL J0831.6+0429,PointSource,127.9143,4.4937,1.64E-11,,,,
1FGL J0839.5+0059,PointSource,129.8924,0.9907,2.17E-12,,,,
1FGL J0842.2+0251,PointSource,130.5533,2.8586,4.22E-14,,,,
1FGL J0848.6+0504,PointSource,132.1713,5.0805,6.19E-15,,,,
1FGL J1739.4+8717,PointSource,264.8726,87.2897,2.64E-12,,,,
1FGL J1321.3+8310,PointSource,200.3457,83.1833,9.94E-13,,,,
1FGL J0445.2-6008,PointSource,71.3192,-60.1499,9.65E-14,,,,
1FGL J0507.3-6103,PointSource,76.8342,-61.0587,1.05E-11,,,,
1FGL J0516.7-6207,PointSource,79.177,-62.1311,3.62E-12,,,,
1FGL J0433.5+2905,PointSource,68.3887,29.0893,3.72E-12,,,,
1FGL J0433.5+3230,PointSource,68.3932,32.5161,2.77E-14,,,,
1FGL J0440.6+2748,PointSource,70.1738,27.8151,2.61E-14,,,,
1FGL J1424.5-7847,PointSource,216.1339,-78.7873,4.53E-13,,,,
1FGL J1617.9-7716,PointSource,244.4804,-77.2719,2.15E-11,,,,
1FGL J1743.8-7620,PointSource,265.9605,-76.3417,3.37E-12,,,,
1FGL J0850.0-1213,PointSource,132.5182,-12.218,5.66E-12,,,,
1FGL J0856.6-1105,PointSource,134.171,-11.094,6.22E-12,,,,
1FGL J0906.4-0903,PointSource,136.6213,-9.0613,4.06E-13,,,,
1FGL J0022.2-1850,PointSource,5.5686,-18.847,6.18E-14,,,,
1FGL J0033.5-1921,PointSource,8.3913,-19.365,1.08E-12,,,,
1FGL J0038.4-2504,PointSource,9.6094,-25.0745,4.41E-12,,,,
1FGL J1650.4-5042,PointSource,252.6064,-50.7063,2.05E-11,,,,
1FGL J1658.8-5317,PointSource,254.7099,-53.288,1.13E-11,,,,
1FGL J1702.4-5653,PointSource,255.6093,-56.8999,1.85E-11,,,,
1FGL J1650.3-5410,PointSource,252.5999,-54.1783,2.29E-13,,,,
1FGL J1639.5-5152,PointSource,249.8958,-51.8772,1.61E-11,,,,
1FGL J0622.3-2604,PointSource,95.5854,-26.0731,3.38E-13,,,,
1FGL J0629.6-2000,PointSource,97.4059,-20.0124,8.60E-13,,,,
1FGL J0630.9-2406,PointSource,97.7472,-24.1067,8.56E-13,,,,
1FGL J2158.8-3013,PointSource,329.7117,-30.2176,2.92E-11,,,,
1FGL J2213.1-2529,PointSource,333.2852,-25.4871,3.23E-12,,,,
1FGL J1711.7-3944c,PointSource,257.9445,-39.746,2.06E-12,,,,
1FGL J1714.5-3830c,PointSource,258.6472,-38.5029,3.78E-12,,,,
1FGL J1717.9-3729c,PointSource,259.4969,-37.4912,1.54E-12,,,,
1FGL J1720.7-3707c,PointSource,260.1916,-37.1278,1.24E-12,,,,
1FGL J1718.2-3825,PointSource,259.5565,-38.4217,2.79E-12,,,,
1FGL J1716.9-3830c,PointSource,259.2276,-38.5132,8.51E-14,,,,
1FGL J1954.8-1124,PointSource,298.7074,-11.4141,8.01E-12,,,,
1FGL J1945.0-0724c,PointSource,296.2526,-7.4013,1.03E-11,,,,
1FGL J0605.3+3800,PointSource,91.3272,38.0053,2.46E-13,,,,
1FGL J0612.7+4120,PointSource,93.1885,41.349,1.94E-12,,,,
1FGL J0622.2+3751,PointSource,95.5614,37.8635,6.00E-12,,,,
1FGL J0625.4+4440,PointSource,96.3609,44.6721,2.22E-13,,,,
1FGL J0134.4+2632,PointSource,23.6187,26.5432,9.74E-13,,,,
1FGL J0144.6+2703,PointSource,26.1726,27.0611,4.78E-12,,,,
1FGL J0213.2+2244,PointSource,33.3225,22.7489,3.61E-13,,,,
1FGL J1733.2-2628,PointSource,263.3114,-26.4781,2.02E-11,,,,
1FGL J1738.5-2656,PointSource,264.6488,-26.9368,1.62E-11,,,,
1FGL J1725.5-2832,PointSource,261.3972,-28.5429,2.22E-12,,,,
1FGL J1730.4-2406,PointSource,262.6121,-24.1117,7.75E-12,,,,
1FGL J2029.2+4924,PointSource,307.3188,49.4156,6.26E-12,,,,
1FGL J2040.4+4652,PointSource,310.1146,46.8697,4.00E-12,,,,
1FGL J2042.3+5041,PointSource,310.5768,50.6857,3.60E-12,,,,
1FGL J2056.7+4938,PointSource,314.1813,49.6437,5.61E-14,,,,
1FGL J2037.2+4944,PointSource,309.3006,49.745,1.57E-13,,,,
1FGL J2046.0+4954,PointSource,311.5226,49.9104,1.18E-12,,,,
1FGL J2052.2+5059,PointSource,313.0647,50.9863,1.84E-12,,,,
1FGL J1207.0-5055,PointSource,181.7563,-50.9287,5.64E-13,,,,
1FGL J1213.6-4424,PointSource,183.4127,-44.4021,2.64E-12,,,,
1FGL J1227.9-4852,PointSource,186.9776,-48.8785,1.74E-11,,,,
1FGL J1232.2-5118,PointSource,188.0545,-51.3053,2.76E-12,,,,
1FGL J1250.9-4940,PointSource,192.7499,-49.6735,5.95E-13,,,,
1FGL J1818.1+0905,PointSource,274.5422,9.0961,4.44E-12,,,,
1FGL J1823.0+0828,PointSource,275.7722,8.4762,1.41E-13,,,,
1FGL J1830.1+0618,PointSource,277.5399,6.3012,8.16E-12,,,,
1FGL J1846.4+0919,PointSource,281.6082,9.3295,4.55E-12,,,,
1FGL J1824.6+1013,PointSource,276.1739,10.218,9.29E-14,,,,
1FGL J2322.6+3435,PointSource,350.654,34.5839,1.67E-14,,,,
