name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
FL8Y J1442.6-4623,PointSource,220.656,-46.3848,,4.65701E-14,,,,
FL8Y J1446.6-4701,PointSource,221.6696,-47.0283,,4.76936E-13,,,,
FL8Y J1515.9+2423,PointSource,228.9931,24.3935,,1.44976E-15,,,,
FL8Y J1746.5-2017,PointSource,266.6306,-20.299,,1.6493E-13,,,,
FL8Y J1748.2-1942,PointSource,267.0644,-19.7022,,9.09084E-14,,,,
FL8Y J1748.9-2022,PointSource,267.2369,-20.3774,,1.03729E-12,,,,
FL8Y J1750.6-1906,PointSource,267.6544,-19.1093,,3.74281E-13,,,,
FL8Y J1744.7-4023,PointSource,266.1902,-40.3944,,7.3639E-14,,,,
FL8Y J1748.8-3914,PointSource,267.2241,-39.2397,,1.26489E-12,,,,
FL8Y J1747.8-4037,PointSource,266.9589,-40.6312,,1.0606E-12,,,,
FL8Y J1744.3-3837,PointSource,266.0933,-38.6243,,4.27794E-13,,,,
FL8Y J1748.6+7005,PointSource,267.1526,70.0963,,4.60546E-12,,,,
FL8Y J1757.0+7032,PointSource,269.254,70.5416,,2.90171E-15,,,,
FL8Y J1800.2+7038,PointSource,270.0508,70.6457,,1.41382E-14,,,,
FL8Y J1806.8+6949,PointSource,271.7206,69.8268,,4.39342E-12,,,,
FL8Y J2114.9-3326,PointSource,318.7258,-33.4375,,4.40809E-14,,,,
FL8Y J2117.8-3243,PointSource,319.4716,-32.7263,,1.21419E-14,,,,
FL8Y J2119.0-3316,PointSource,319.7706,-33.2667,,9.63941E-14,,,,
FL8Y J2124.7-3358,PointSource,321.1959,-33.9786,,6.83898E-12,,,,
FL8Y J2218.8+6618,PointSource,334.7029,66.3131,,6.73396E-13,,,,
FL8Y J2226.8+6504,PointSource,336.7138,65.0776,,4.15793E-12,,,,
FL8Y J2230.2+6610,PointSource,337.5644,66.1715,,4.23132E-13,,,,
FL8Y J2233.5+6531,PointSource,338.3844,65.5305,,1.1445E-12,,,,
FL8Y J2211.0+5930,PointSource,332.7679,59.5089,,3.79598E-13,,,,
FL8Y J2214.2+5951,PointSource,333.5556,59.863,,1.39356E-13,,,,
FL8Y J2205.6+6017,PointSource,331.4149,60.2965,,2.25328E-13,,,,
FL8Y J2229.1+6114,PointSource,337.2757,61.2359,,3.62617E-11,,,,
FL8Y J2215.3+6104,PointSource,333.8375,61.0723,,5.70095E-13,,,,
FL8Y J1512.8-0906,PointSource,228.2109,-9.1034,,1.90087E-10,,,,
FL8Y J1514.8-0949,PointSource,228.7089,-9.8235,,5.53999E-13,,,,
