shapeid,ID,MARE_NAME,Perimtr_km,Area_km
72,0,Lacus Excellentiae,26.70432976,53.54656773
73,0,Lacus Excellentiae,222.0920191,747.0361778
74,0,Lacus Excellentiae,1346.879268,12981.67867
74.0.ring1,0,Lacus Excellentiae,1346.879268,12981.67867
75,0,Mees,157.8940999,671.0512528
75.0.ring1,0,Mees,157.8940999,671.0512528
76,0,Mees,126.5412198,477.6535737
77,0,Mare Australe,34.00255169,62.72307896
78,0,South Pole Aitken Basin,325.6893062,895.037953
79,0,Apollo,127.5909931,170.5183351
80,14,Chrtien,1250.048785,4384.844324
80.0.ring1,14,Chrtien,1250.048785,4384.844324
80.0.ring2,14,Chrtien,1250.048785,4384.844324
80.0.ring3,14,Chrtien,1250.048785,4384.844324
80.0.ring4,14,Chrtien,1250.048785,4384.844324
80.0.ring5,14,Chrtien,1250.048785,4384.844324
80.0.ring6,14,Chrtien,1250.048785,4384.844324
81,14,Chrtien,511.3458471,1907.002067
81.0.ring1,14,Chrtien,511.3458471,1907.002067
81.0.ring2,14,Chrtien,511.3458471,1907.002067
81.0.ring3,14,Chrtien,511.3458471,1907.002067
82,1,Grimaldi,1009.228743,17050.43842
82.0.ring1,1,Grimaldi,1009.228743,17050.43842
82.0.ring2,1,Grimaldi,1009.228743,17050.43842
82.0.ring3,1,Grimaldi,1009.228743,17050.43842
83,0,Grimaldi,49.75974003,65.85107494
84,0,Riccioli,442.8137018,1573.555662
85,0,Artamonov,296.1255436,2141.17934
85.0.ring1,0,Artamonov,296.1255436,2141.17934
86,0,Lomonosov,268.2744597,2691.017584
87,0,Joliot,821.5224618,6300.206061
87.0.ring1,0,Joliot,821.5224618,6300.206061
88,0,Joliot,43.51737888,80.7548382
89,0,Edison,152.5706299,617.0055439
90,0,Maxwell,264.0194025,1409.935902
91,0,Dziewulski,118.4128405,556.8074232
92,0,Richardson,513.4425,4184.328419
93,0,Hubble,268.561493,2879.309115
93.0.ring1,0,Hubble,268.561493,2879.309115
94,0,Jules Verne,927.0388959,4332.364321
94.0.ring1,0,Jules Verne,927.0388959,4332.364321
94.0.ring2,0,Jules Verne,927.0388959,4332.364321
94.0.ring3,0,Jules Verne,927.0388959,4332.364321
94.0.ring4,0,Jules Verne,927.0388959,4332.364321
94.0.ring5,0,Jules Verne,927.0388959,4332.364321
94.0.ring6,0,Jules Verne,927.0388959,4332.364321
94.0.ring7,0,Jules Verne,927.0388959,4332.364321
94.0.ring8,0,Jules Verne,927.0388959,4332.364321
94.0.ring9,0,Jules Verne,927.0388959,4332.364321
95,0,Jules Verne,236.2581591,651.9625962
96,0,Jules Verne,17.15448374,4.44659824
97,0,Jules Verne,34.93659991,30.69147506
98,0,Lacus Aestatis,267.207628,723.0142773
99,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring1,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring2,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring3,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring4,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring5,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring6,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring7,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring8,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring9,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring10,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring11,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring12,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring13,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring14,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring15,0,Lacus Felicitatis,868.8987953,2242.518396
99.0.ring16,0,Lacus Felicitatis,868.8987953,2242.518396
100,0,Lacus Hiemalis,298.5125126,1698.12228
100.0.ring1,0,Lacus Hiemalis,298.5125126,1698.12228
101,0,Lacus Lenitatis,386.4071495,2898.844472
102,0,Lacus Luxuriae,203.9674049,513.3095979
103,0,Lacus Luxuriae,370.9174261,987.6740917
103.0.ring1,0,Lacus Luxuriae,370.9174261,987.6740917
103.0.ring2,0,Lacus Luxuriae,370.9174261,987.6740917
104,0,Lacus Mortis,2299.72066,33638.01087
104.0.ring1,0,Lacus Mortis,2299.72066,33638.01087
104.0.ring2,0,Lacus Mortis,2299.72066,33638.01087
104.0.ring3,0,Lacus Mortis,2299.72066,33638.01087
104.0.ring4,0,Lacus Mortis,2299.72066,33638.01087
104.0.ring5,0,Lacus Mortis,2299.72066,33638.01087
104.0.ring6,0,Lacus Mortis,2299.72066,33638.01087
105,17,Lacus Oblivionis,179.5584242,466.2611539
105.0.ring1,17,Lacus Oblivionis,179.5584242,466.2611539
106,0,Lacus Odii,478.3858079,1683.366005
106.0.ring1,0,Lacus Odii,478.3858079,1683.366005
106.0.ring2,0,Lacus Odii,478.3858079,1683.366005
106.0.ring3,0,Lacus Odii,478.3858079,1683.366005
106.0.ring4,0,Lacus Odii,478.3858079,1683.366005
106.0.ring5,0,Lacus Odii,478.3858079,1683.366005
107,0,Lacus Perseveramtiae,266.8799005,701.1084822
107.0.ring1,0,Lacus Perseveramtiae,266.8799005,701.1084822
108,0,Lacus Solitudinis,93.2861511,220.8625913
109,0,Lacus Solitudinis,29.44244791,53.81989573
110,0,Lacus Solitudinis,110.7001051,410.6246926
111,9,Lacus Solitudinis,651.4426317,1856.723498
111.0.ring1,9,Lacus Solitudinis,651.4426317,1856.723498
111.0.ring2,9,Lacus Solitudinis,651.4426317,1856.723498
111.0.ring3,9,Lacus Solitudinis,651.4426317,1856.723498
111.0.ring4,9,Lacus Solitudinis,651.4426317,1856.723498
111.0.ring5,9,Lacus Solitudinis,651.4426317,1856.723498
112,9,Bolyai,192.2465456,397.9921112
113,1,Lacus Spei,455.6251134,1943.873261
114,0,Lacus Spei,31.43215256,51.50172107
115,0,Lacus Temporis,1507.449399,15133.65182
115.0.ring1,0,Lacus Temporis,1507.449399,15133.65182
115.0.ring2,0,Lacus Temporis,1507.449399,15133.65182
115.0.ring3,0,Lacus Temporis,1507.449399,15133.65182
115.0.ring4,0,Lacus Temporis,1507.449399,15133.65182
115.0.ring5,0,Lacus Temporis,1507.449399,15133.65182
115.0.ring6,0,Lacus Temporis,1507.449399,15133.65182
116,0,Lacus Timoris,674.9679607,4259.326328
116.0.ring1,0,Lacus Timoris,674.9679607,4259.326328
116.0.ring2,0,Lacus Timoris,674.9679607,4259.326328
116.0.ring3,0,Lacus Timoris,674.9679607,4259.326328
117,0,Mare Australe,287.4947368,1868.035091
117.0.ring1,0,Mare Australe,287.4947368,1868.035091
118,0,Mare Australe,193.0923269,1339.295009
119,0,Mare Australe,268.6882693,2657.069983
120,0,Mare Australe,607.7550204,10791.65841
121,0,Mare Australe,132.1620036,794.2574065
122,0,Mare Australe,188.301264,1438.606209
123,0,Mare Australe,220.5342259,1263.691393
123.0.ring1,0,Mare Australe,220.5342259,1263.691393
124,0,Mare Australe,375.2524111,3096.38682
125,0,Mare Australe,73.12429918,128.8606333
126,0,Mare Australe,255.1827062,1755.572349
127,0,Mare Australe,37.57642242,57.05747928
128,0,Mare Australe,72.58761015,172.4452674
129,0,Mare Australe,208.8206349,1572.988615
130,0,Mare Australe,145.2662803,423.6150517
131,0,Mare Australe,83.29059744,241.8485968
132,0,Mare Australe,280.9195054,2885.170739
133,0,Mare Australe,1838.064817,14129.68861
133.0.ring1,0,Mare Australe,1838.064817,14129.68861
133.0.ring2,0,Mare Australe,1838.064817,14129.68861
134,0,Mare Australe,247.3785603,898.9276493
134.0.ring1,0,Mare Australe,247.3785603,898.9276493
135,0,Mare Australe,141.3339047,693.3354384
136,0,Mare Australe,257.4470997,3009.452198
137,0,Mare Australe,1438.356034,9243.523894
137.0.ring1,0,Mare Australe,1438.356034,9243.523894
138,0,Mare Australe,40.06862682,86.07736042
139,0,Mare Australe,126.9169507,547.0715048
140,0,Mare Australe,289.5594469,2057.733059
141,0,Mare Australe,253.5384111,1927.754633
142,0,Mare Australe,244.4346052,1375.05086
143,0,Mare Australe,151.761204,610.3229665
144,0,Mare Australe,41.65938508,57.17809193
145,0,Mare Australe,284.4453928,1973.135684
146,0,Mare Australe,259.2408072,1007.343514
147,0,Mare Australe,187.089611,1543.139547
148,0,Mare Australe,718.721551,3852.706991
148.0.ring1,0,Mare Australe,718.721551,3852.706991
148.0.ring2,0,Mare Australe,718.721551,3852.706991
148.0.ring3,0,Mare Australe,718.721551,3852.706991
148.0.ring4,0,Mare Australe,718.721551,3852.706991
149,0,Mare Australe,70.02585764,140.0069564
150,0,Mare Australe,430.1786487,3398.506201
151,0,Mare Australe,223.3163595,686.1086541
152,0,Mare Australe,61.81951209,116.1126571
153,0,Mare Australe,40.63575025,86.26225413
154,0,Mare Australe,367.2434754,3465.428751
155,0,Mare Australe,353.7757222,2785.450276
156,0,Mare Australe,596.8240093,4639.009649
157,0,Mare Australe,38.97392545,60.04191675
158,0,Mare Australe,436.5391336,2304.501383
159,0,Mare Australe,224.3387287,1501.730033
160,0,Mare Australe,94.3503485,320.0525145
161,0,Mare Australe,321.2183192,981.0357382
162,0,Mare Australe,338.740719,2136.745303
163,0,Mare Australe,95.97439016,394.2079582
164,0,Mare Australe,7761.257737,78868.18544
