name,RA,Dec,l,b,x,y
2FAV?J0958+65.5,149.7,65.56666667,,,,
2FAV?J1315-53.6,198.875,-53.61666667,,,,
2FAV?J1503+55.9,225.85,55.93333333,,,,
2FAV?J2324-40.6,351.1,-40.65,,,,
2FAV?J1754+32.2,268.55,32.2,,,,
2FAV?J0810+52.2,122.525,52.28333333,,,,
2FAV?J1153+49.5,178.35,49.51666667,,,,
2FAV?J1328-56.1,202.225,-56.13333333,,,,
2FAV?J2232+11.7,338.15,11.73333333,,,,
2FAV?J0644-67.2,101.075,-67.25,,,,
2FAV?J2035+10.9,308.85,10.93333333,,,,
2FAV?J1146+39.9,176.75,39.98333333,,,,
2FAV?J2202+42.2,330.7,42.26666667,,,,
2FAV?J1532-13.3,233.2,-13.31666667,,,,
2FAV?J0237+28.7,39.45,28.8,,,,
2FAV?J1650+04.2,252.575,4.283333333,,,,
2FAV?J0849+51.1,132.5,51.13333333,,,,
2FAV?J1058+01.6,164.5,1.683333333,,,,
2FAV?J0204-17.0,31.175,-17,,,,
2FAV?J0417-02.8,64.375,-2.866666667,,,,
2FAV?J1604+57.1,241.075,57.18333333,,,,
2FAV?J0505+04.9,76.35,5,,,,
2FAV?J0629-19.9,97.35,-19.98333333,,,,
2FAV?J0804-00.9,121.175,-0.983333333,,,,
2FAV?J0102+58.3,15.675,58.38333333,,,,
2FAV?J2323-03.3,350.875,-3.3,,,,
2FAV?J0841+70.8,130.3,70.88333333,,,,
2FAV?J0532+07.5,83.175,7.583333333,,,,
2FAV?J1050+04.5,162.55,4.566666667,,,,
2FAV?J1349-11.5,207.35,-11.53333333,,,,
2FAV?J1427-33.0,216.9,-33.06666667,,,,
2FAV?J0521-39.0,80.4,-39.08333333,,,,
2FAV?J1913-80.1,288.475,-80.18333333,,,,
2FAV?J2348-16.5,357.025,-16.58333333,,,,
2FAV?J1148+26.5,177.075,26.53333333,,,,
2FAV?J1717-51.9,259.375,-51.96666667,,,,
2FAV?J2127-46.0,321.75,-46.06666667,,,,
2FAV?J0539+14.5,84.9,14.53333333,,,,
2FAV?J2157+31.4,329.4,31.46666667,,,,
2FAV?J1031+60.3,157.9,60.33333333,,,,
2FAV?J0701-46.6,105.35,-46.6,,,,
2FAV?J2201+50.8,330.45,50.81666667,,,,
2FAV?J1647+49.8,251.975,49.88333333,,,,
2FAV?J1038-53.2,159.7,-53.23333333,,,,
2FAV?J0957-13.8,149.35,-13.86666667,,,,
2FAV?J1057-80.0,164.3,-80.08333333,,,,
2FAV?J0030-02.2,7.65,-2.216666667,,,,
2FAV?J2328-40.5,352.075,-40.6,,,,
2FAV?J1342-20.8,205.675,-20.83333333,,,,
2FAV?J0648-30.7,102.075,-30.73333333,,,,
2FAV?J1421+37.0,215.4,37.03333333,,,,
2FAV?J0229-36.7,37.375,-36.76666667,,,,
2FAV?J0343-25.5,55.75,-25.56666667,,,,
2FAV?J1617+51.5,244.45,51.51666667,,,,
2FAV?J1312-04.3,198.225,-4.383333333,,,,
2FAV?J0310-60.9,47.5,-60.96666667,,,,
2FAV?J2236-14.5,339.125,-14.55,,,,
2FAV?J1418+35.7,214.6,35.73333333,,,,
2FAV?J0905+01.3,136.375,1.366666667,,,,
